Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
cmaterdb/devanagari,lookAhead_improved,2,"{'sync_period': 8, 'slow_step_size': 0.8796315331270574}",90.200001,0.986000001,0.999555528,0.925311208,0.987506747,0.959081411,11.80272794,0.258438826
cmaterdb/devanagari,lookAhead_improved,3,"{'sync_period': 7, 'slow_step_size': 0.6084050695097749}",87.59999871,0.994000018,1,0.915254235,0.989972413,0.954984665,11.05686164,0.261791229
cmaterdb/devanagari,lookAhead_improved,4,"{'sync_period': 7, 'slow_step_size': 0.8631170663546643}",91.60000086,0.995999992,1,0.929313958,0.992605209,0.966096163,13.05544448,0.12227726
cmaterdb/devanagari,lookAhead_improved,5,"{'sync_period': 2, 'slow_step_size': 0.7405442506121775}",90.60000181,0.994000018,1,0.927385867,0.991951346,0.965153575,12.01612329,0.263951778
cmaterdb/devanagari,lookAhead_improved,6,"{'sync_period': 9, 'slow_step_size': 0.7947741579120698}",89.99999762,0.991999984,1,0.916666687,0.989752173,0.957570672,11.73207593,0.198442221
cmaterdb/devanagari,lookAhead_improved,7,"{'sync_period': 1, 'slow_step_size': 0.8769179474028861}",90.39999843,0.99000001,1,0.924024642,0.990073383,0.965504885,12.96230388,0.140571594
cmaterdb/devanagari,lookAhead_improved,8,"{'sync_period': 3, 'slow_step_size': 0.8254347582415011}",90.79999924,0.99000001,1,0.921971262,0.990729332,0.967959762,13.05035925,0.142916918
cmaterdb/devanagari,lookAhead_improved,9,"{'sync_period': 9, 'slow_step_size': 0.8986015302775721}",90.200001,0.994000018,1,0.925311208,0.99191916,0.965176821,13.64062643,0.131577253
cmaterdb/devanagari,lookAhead_improved,10,"{'sync_period': 7, 'slow_step_size': 0.8986258344825957}",90.60000181,0.994000018,1,0.914937735,0.990746319,0.959057152,11.27566957,0.261973381
cmaterdb/devanagari,baseline_model,1,"{'lr': 0.00894737749495618, 'epsilon': 7.213862615708106e-06}",91.20000005,0.958000004,0.997555554,0.919354856,0.976452231,0.937798262,5.606331348,0.489377022
cmaterdb/devanagari,baseline_model,2,"{'lr': 0.004899929006581311, 'epsilon': 3.164243570314017e-07}",92.00000167,0.980000019,0.998666644,0.931034505,0.987783253,0.96168226,5.638680696,0.125357866
cmaterdb/devanagari,baseline_model,3,"{'lr': 0.0046418724738492316, 'epsilon': 1.956658275767181e-05}",94.19999719,0.981999993,0.999555528,0.948979616,0.989278913,0.972625732,6.444047451,0.107990265
cmaterdb/devanagari,baseline_model,4,"{'lr': 0.004070360502508448, 'epsilon': 6.418560565639303e-07}",93.99999976,0.973999977,0.998222232,0.945454538,0.98492527,0.956159949,6.39013052,0.536691189
cmaterdb/devanagari,baseline_model,5,"{'lr': 0.009615720522158179, 'epsilon': 5.8926400165220165e-05}",92.00000167,0.966000021,0.998666644,0.920000017,0.980662823,0.95138675,6.60849762,0.128456116
